experiment,condition,model,seed,n_contaminated,seconds,segment,statistic,p_value,threshold,detected,mean_abs_delta,n_diff_sites,clade_sizes,mosaic,sub_a,sub_b,gap_best,gap_mean,mosaic_mean_posterior,sub_a_mean_posterior,sub_b_mean_posterior,n_taxa,length,mosaic_vs_sub_a_identity,mosaic_vs_sub_b_identity,true_breakpoint,contaminated_witnesses,evolution_model,asr_accuracy_vs_true_root,asr_mean_max_posterior,segment_jaccard,n_diagnostic,site_auc,instability_auc,false_positive
detect,detect_bp25-55,f81,2,3,53.8,,4.5907,0.84577,8.9782,False,0.5468,69,"[6, 6]","{""pseudo_log_likelihood"": -1.8376, ""autoregressive"": -1.8147}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}","{""pseudo_log_likelihood"": -1.8967, ""autoregressive"": -1.8462}",-0.0591,-0.0765,0.8193,0.9689,0.932,12,106,0.5094,0.8302,"[25, 55]","[""A0"", ""A1"", ""A3""]",f81,0.4906,0.8193,0.0,69,0.4363,0.4251,False
detect,detect_bp55-85,f81,2,3,53.3,,6.6679,0.26866,8.6942,False,0.4069,67,"[6, 6]","{""pseudo_log_likelihood"": -1.8916, ""autoregressive"": -1.8969}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}","{""pseudo_log_likelihood"": -2.0706, ""autoregressive"": -2.012}",-0.0399,-0.1095,0.8437,0.9689,0.9126,12,106,0.5189,0.8396,"[55, 85]","[""A0"", ""A1"", ""A3""]",f81,0.434,0.8437,0.0,67,0.5731,0.6064,False
null,null_clean,f81,2,0,71.4,,7.9207,0.11443,9.5725,False,0.4914,74,"[6, 6]","{""pseudo_log_likelihood"": -1.8989, ""autoregressive"": -1.8202}","{""pseudo_log_likelihood"": -2.0267, ""autoregressive"": -1.9962}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}",-0.0326,-0.0802,0.7246,0.9771,0.9689,12,106,0.7736,0.4906,,[],f81,0.4623,0.7246,0.0,74,,,False
repair,repair_n0,f81,2,0,85.8,,7.9207,0.11443,9.5725,False,0.4914,74,"[6, 6]","{""pseudo_log_likelihood"": -1.8989, ""autoregressive"": -1.8202}","{""pseudo_log_likelihood"": -2.0267, ""autoregressive"": -1.9962}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}",-0.0326,-0.0802,0.7246,0.9771,0.9689,12,106,0.7736,0.4906,,[],f81,0.4623,0.7246,0.0,74,,,False
repair,repair_n1,f81,2,1,76.2,,5.1806,0.67164,8.6168,False,0.4494,73,"[6, 6]","{""pseudo_log_likelihood"": -1.8485, ""autoregressive"": -1.8144}","{""pseudo_log_likelihood"": -1.9784, ""autoregressive"": -1.9461}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}",-0.083,-0.1065,0.7284,0.9749,0.9689,12,106,0.5377,0.7453,"[26, 56]","[""A5""]",f81,0.4623,0.7284,0.0,73,0.5899,0.3818,False
repair,repair_n3,f81,2,3,86.5,,8.0764,0.07463,8.6596,False,0.531,71,"[6, 6]","{""pseudo_log_likelihood"": -1.9194, ""autoregressive"": -1.8768}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}","{""pseudo_log_likelihood"": -1.8928, ""autoregressive"": -1.8587}",0.0266,0.0072,0.8188,0.9689,0.931,12,106,0.5189,0.8019,"[26, 56]","[""A0"", ""A1"", ""A3""]",f81,0.4906,0.8188,0.0,71,0.4534,0.4636,False
repair,repair_n5,f81,2,5,92.0,"[0, 84]",9.1869,0.04478,8.8175,True,0.441,54,"[6, 6]","{""pseudo_log_likelihood"": -1.9187, ""autoregressive"": -1.8429}","{""pseudo_log_likelihood"": -1.9315, ""autoregressive"": -1.8864}","{""pseudo_log_likelihood"": -1.9162, ""autoregressive"": -1.8874}",0.0026,-0.0051,0.8749,0.9689,0.9687,12,106,0.5566,0.9057,"[26, 56]","[""A0"", ""A1"", ""A2"", ""A3"", ""A4""]",f81,0.4623,0.8749,0.3571,54,0.1698,0.1226,False
