experiment,condition,model,seed,n_contaminated,seconds,segment,statistic,p_value,threshold,detected,mean_abs_delta,n_diff_sites,clade_sizes,mosaic,sub_a,sub_b,gap_best,gap_mean,mosaic_mean_posterior,sub_a_mean_posterior,sub_b_mean_posterior,n_taxa,length,mosaic_vs_sub_a_identity,mosaic_vs_sub_b_identity,true_breakpoint,contaminated_witnesses,evolution_model,asr_accuracy_vs_true_root,asr_mean_max_posterior,segment_jaccard,n_diagnostic,site_auc,instability_auc,false_positive
detect,detect_bp25-55,selection,2,3,65.0,,7.0418,0.20398,9.1199,False,0.3006,27,"[6, 6]","{""pseudo_log_likelihood"": -1.3368, ""autoregressive"": -1.4337}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}","{""pseudo_log_likelihood"": -1.3003, ""autoregressive"": -1.397}",0.0802,0.0584,0.9429,0.996,0.9565,12,106,0.783,0.9528,"[25, 55]","[""A0"", ""A1"", ""A3""]",selection,0.7075,0.9429,0.0,27,0.3889,0.5278,False
detect,detect_bp55-85,selection,2,3,60.6,,6.1541,0.31841,8.742,False,0.2496,25,"[6, 6]","{""pseudo_log_likelihood"": -1.3357, ""autoregressive"": -1.4033}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}","{""pseudo_log_likelihood"": -1.3574, ""autoregressive"": -1.3999}",0.0791,0.0287,0.9513,0.996,0.9612,12,106,0.7925,0.9717,"[55, 85]","[""A0"", ""A1"", ""A3""]",selection,0.783,0.9513,0.0,25,0.2391,0.25,False
null,null_clean,selection,2,0,62.2,,5.0823,0.58706,9.3534,False,0.302,36,"[6, 6]","{""pseudo_log_likelihood"": -1.2479, ""autoregressive"": -1.4016}","{""pseudo_log_likelihood"": -1.3018, ""autoregressive"": -1.4085}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}",-0.0087,-0.0313,0.8537,0.9986,0.996,12,106,0.6887,0.9717,,[],selection,0.6981,0.8537,0.0,36,,,False
repair,repair_n0,selection,2,0,63.6,,5.0823,0.58706,9.3534,False,0.302,36,"[6, 6]","{""pseudo_log_likelihood"": -1.2479, ""autoregressive"": -1.4016}","{""pseudo_log_likelihood"": -1.3018, ""autoregressive"": -1.4085}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}",-0.0087,-0.0313,0.8537,0.9986,0.996,12,106,0.6887,0.9717,,[],selection,0.6981,0.8537,0.0,36,,,False
repair,repair_n1,selection,2,1,61.5,,8.8968,0.05473,8.7917,False,0.3304,34,"[6, 6]","{""pseudo_log_likelihood"": -1.2738, ""autoregressive"": -1.4171}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}","{""pseudo_log_likelihood"": -1.2708, ""autoregressive"": -1.3822}",0.0172,0.0101,0.9557,0.996,0.9482,12,106,0.8019,0.8491,"[26, 56]","[""A5""]",selection,0.717,0.9557,0.0,34,0.4704,0.4921,False
repair,repair_n3,selection,2,3,61.6,,7.4421,0.1592,8.751,False,0.3225,34,"[6, 6]","{""pseudo_log_likelihood"": -1.3586, ""autoregressive"": -1.4408}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}","{""pseudo_log_likelihood"": -1.2708, ""autoregressive"": -1.3822}",0.1021,0.0949,0.9503,0.996,0.9524,12,106,0.783,0.8868,"[26, 56]","[""A0"", ""A1"", ""A3""]",selection,0.6981,0.9503,0.0,34,0.4743,0.4743,False
repair,repair_n5,selection,2,5,54.7,,3.8971,0.86567,8.6377,False,0.235,24,"[6, 6]","{""pseudo_log_likelihood"": -1.3203, ""autoregressive"": -1.4253}","{""pseudo_log_likelihood"": -1.3291, ""autoregressive"": -1.4356}","{""pseudo_log_likelihood"": -1.2565, ""autoregressive"": -1.4053}",0.0637,0.0274,0.9461,0.9372,0.996,12,106,0.9528,0.8113,"[26, 56]","[""A0"", ""A1"", ""A2"", ""A3"", ""A4""]",selection,0.6981,0.9461,0.0,24,0.2609,0.7391,False
