experiment,condition,model,seed,n_contaminated,seconds,segment,statistic,p_value,threshold,detected,mean_abs_delta,n_diff_sites,clade_sizes,mosaic,sub_a,sub_b,gap_best,gap_mean,mosaic_mean_posterior,sub_a_mean_posterior,sub_b_mean_posterior,n_taxa,length,mosaic_vs_sub_a_identity,mosaic_vs_sub_b_identity,true_breakpoint,contaminated_witnesses,evolution_model,asr_accuracy_vs_true_root,asr_mean_max_posterior,segment_jaccard,n_diagnostic,site_auc,instability_auc,false_positive
detect,detect_bp25-55,selection,1,3,60.4,,4.994,0.62687,9.4284,False,0.4752,30,"[6, 6]","{""pseudo_log_likelihood"": -1.2974, ""autoregressive"": -1.4657}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.269, ""autoregressive"": -1.4687}",0.16,0.0942,0.8768,0.9958,0.9905,12,106,0.783,0.934,"[25, 55]","[""A1"", ""A2"", ""A4""]",selection,0.6981,0.8768,0.0,30,0.8276,0.4483,False
detect,detect_bp55-85,selection,1,3,81.4,,3.3912,0.91542,8.81,False,0.3164,23,"[6, 6]","{""pseudo_log_likelihood"": -1.1474, ""autoregressive"": -1.3332}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.2199, ""autoregressive"": -1.3849}",0.01,-0.0313,0.9598,0.9958,0.9492,12,106,0.8019,0.934,"[55, 85]","[""A1"", ""A2"", ""A4""]",selection,0.6792,0.9598,0.0,23,nan,nan,False
null,null_clean,selection,1,0,67.6,,7.2443,0.19403,9.5159,False,0.5292,38,"[6, 6]","{""pseudo_log_likelihood"": -1.2071, ""autoregressive"": -1.3525}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.1781, ""autoregressive"": -1.4207}",0.0697,0.0493,0.8416,0.9958,0.9951,12,106,0.934,0.7075,,[],selection,0.7358,0.8416,0.0,38,,,False
repair,repair_n0,selection,1,0,66.7,,7.2443,0.19403,9.5159,False,0.5292,38,"[6, 6]","{""pseudo_log_likelihood"": -1.2071, ""autoregressive"": -1.3525}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.1781, ""autoregressive"": -1.4207}",0.0697,0.0493,0.8416,0.9958,0.9951,12,106,0.934,0.7075,,[],selection,0.7358,0.8416,0.0,38,,,False
repair,repair_n1,selection,1,1,67.7,"[10, 56]",11.7169,0.01493,10.1524,True,0.523,38,"[6, 6]","{""pseudo_log_likelihood"": -1.2553, ""autoregressive"": -1.4426}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.198, ""autoregressive"": -1.421}",0.1179,0.0876,0.9094,0.9958,0.957,12,106,0.7642,0.8679,"[26, 56]","[""A2""]",selection,0.6792,0.9094,0.6522,38,0.9042,0.4333,False
repair,repair_n3,selection,1,3,60.2,,4.5136,0.72637,9.1915,False,0.4632,29,"[6, 6]","{""pseudo_log_likelihood"": -1.3169, ""autoregressive"": -1.4845}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.2708, ""autoregressive"": -1.4726}",0.1795,0.1128,0.8824,0.9958,0.988,12,106,0.7736,0.934,"[26, 56]","[""A1"", ""A2"", ""A4""]",selection,0.6792,0.8824,0.0,29,nan,nan,False
repair,repair_n5,selection,1,5,61.3,,5.5485,0.49254,9.0024,False,0.4056,30,"[6, 6]","{""pseudo_log_likelihood"": -1.2474, ""autoregressive"": -1.4314}","{""pseudo_log_likelihood"": -1.1374, ""autoregressive"": -1.3237}","{""pseudo_log_likelihood"": -1.2706, ""autoregressive"": -1.472}",0.11,0.0434,0.8917,0.9958,0.961,12,106,0.7453,0.9623,"[26, 56]","[""A0"", ""A1"", ""A3"", ""A4"", ""A5""]",selection,0.6981,0.8917,0.0,30,nan,nan,False
