experiment,condition,model,seed,n_contaminated,seconds,segment,statistic,p_value,threshold,detected,mean_abs_delta,n_diff_sites,clade_sizes,mosaic,sub_a,sub_b,gap_best,gap_mean,mosaic_mean_posterior,sub_a_mean_posterior,sub_b_mean_posterior,n_taxa,length,mosaic_vs_sub_a_identity,mosaic_vs_sub_b_identity,true_breakpoint,contaminated_witnesses,evolution_model,asr_accuracy_vs_true_root,asr_mean_max_posterior,segment_jaccard,n_diagnostic,site_auc,instability_auc,false_positive
detect,detect_bp25-55,f81,0,3,59.8,,5.142,0.64677,8.4382,False,0.5611,73,"[6, 6]","{""pseudo_log_likelihood"": -2.1605, ""autoregressive"": -2.0629}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}","{""pseudo_log_likelihood"": -2.2449, ""autoregressive"": -2.117}",0.0771,-0.0036,0.7669,0.9645,0.9279,12,106,0.3962,0.8396,"[25, 55]","[""A3"", ""A4"", ""A5""]",f81,0.3396,0.7669,0.0,73,0.4667,0.2731,False
detect,detect_bp55-85,f81,0,3,55.5,,4.4666,0.89055,9.1744,False,0.5194,69,"[6, 6]","{""pseudo_log_likelihood"": -1.9999, ""autoregressive"": -1.9416}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}","{""pseudo_log_likelihood"": -2.1692, ""autoregressive"": -2.0934}",-0.0835,-0.1264,0.8482,0.9645,0.8947,12,106,0.4717,0.8113,"[55, 85]","[""A3"", ""A4"", ""A5""]",f81,0.3396,0.8482,0.0,69,0.5814,0.5637,False
null,null_clean,f81,0,0,66.3,,7.6089,0.1194,8.4918,False,0.5687,76,"[6, 6]","{""pseudo_log_likelihood"": -2.0429, ""autoregressive"": -1.9659}","{""pseudo_log_likelihood"": -2.2395, ""autoregressive"": -2.1511}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}",-0.0405,-0.1186,0.6525,0.964,0.9645,12,106,0.7925,0.4717,,[],f81,0.3585,0.6525,0.0,76,,,False
repair,repair_n0,f81,0,0,84.0,,7.6089,0.1194,8.4918,False,0.5687,76,"[6, 6]","{""pseudo_log_likelihood"": -2.0429, ""autoregressive"": -1.9659}","{""pseudo_log_likelihood"": -2.2395, ""autoregressive"": -2.1511}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}",-0.0405,-0.1186,0.6525,0.964,0.9645,12,106,0.7925,0.4717,,[],f81,0.3585,0.6525,0.0,76,,,False
repair,repair_n1,f81,0,1,65.3,,4.0892,0.9801,8.6706,False,0.6461,76,"[6, 6]","{""pseudo_log_likelihood"": -1.9804, ""autoregressive"": -1.9158}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}","{""pseudo_log_likelihood"": -2.2455, ""autoregressive"": -2.1563}",-0.103,-0.184,0.7437,0.9645,0.9669,12,106,0.5189,0.7358,"[26, 56]","[""A5""]",f81,0.3585,0.7437,0.0,76,0.553,0.418,False
repair,repair_n3,f81,0,3,60.4,,5.1892,0.66667,8.3872,False,0.571,72,"[6, 6]","{""pseudo_log_likelihood"": -2.1645, ""autoregressive"": -2.0699}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}","{""pseudo_log_likelihood"": -2.2452, ""autoregressive"": -2.1132}",0.0811,0.0001,0.7496,0.9645,0.9228,12,106,0.3962,0.8585,"[26, 56]","[""A3"", ""A4"", ""A5""]",f81,0.3396,0.7496,0.0,72,0.4542,0.2708,False
repair,repair_n5,f81,0,5,63.2,,5.5481,0.54726,8.8621,False,0.4945,63,"[6, 6]","{""pseudo_log_likelihood"": -1.9811, ""autoregressive"": -1.9367}","{""pseudo_log_likelihood"": -2.1506, ""autoregressive"": -2.0398}","{""pseudo_log_likelihood"": -2.0834, ""autoregressive"": -1.9696}",-0.1023,-0.1359,0.8166,0.8956,0.9645,12,106,0.8774,0.4528,"[26, 56]","[""A1"", ""A2"", ""A3"", ""A4"", ""A5""]",f81,0.3491,0.8166,0.0,63,0.4754,0.2049,False
