experiment,condition,model,seed,n_contaminated,seconds,segment,statistic,p_value,threshold,detected,mean_abs_delta,n_diff_sites,clade_sizes,mosaic,sub_a,sub_b,gap_best,gap_mean,mosaic_mean_posterior,sub_a_mean_posterior,sub_b_mean_posterior,n_taxa,length,mosaic_vs_sub_a_identity,mosaic_vs_sub_b_identity,true_breakpoint,contaminated_witnesses,evolution_model,asr_accuracy_vs_true_root,asr_mean_max_posterior,segment_jaccard,n_diagnostic,site_auc,instability_auc,false_positive
detect,detect_bp25-55,selection,0,3,64.0,,4.3505,0.81095,9.2056,False,0.4251,35,"[6, 6]","{""pseudo_log_likelihood"": -1.2039, ""autoregressive"": -1.3504}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2071, ""autoregressive"": -1.3494}",0.0017,-0.0007,0.9115,0.9907,0.9521,12,106,0.717,0.9151,"[25, 55]","[""A3"", ""A4"", ""A5""]",selection,0.6415,0.9115,0.0,35,0.7685,0.3449,False
detect,detect_bp55-85,selection,0,3,70.2,"[50, 92]",10.9852,0.0199,8.9876,True,0.4012,37,"[6, 6]","{""pseudo_log_likelihood"": -1.1961, ""autoregressive"": -1.3555}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2165, ""autoregressive"": -1.3574}",-0.0061,-0.0133,0.9521,0.9907,0.9496,12,106,0.7736,0.8679,"[55, 85]","[""A3"", ""A4"", ""A5""]",selection,0.6038,0.9521,0.7143,37,0.0481,0.4263,False
null,null_clean,selection,0,0,79.5,,6.8835,0.23383,8.8091,False,0.4226,37,"[6, 6]","{""pseudo_log_likelihood"": -1.2481, ""autoregressive"": -1.3778}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2138, ""autoregressive"": -1.3687}",0.0459,0.0401,0.8273,0.9907,0.9977,12,106,0.6887,0.9623,,[],selection,0.6038,0.8273,0.0,37,,,False
repair,repair_n0,selection,0,0,73.3,,6.8835,0.23383,8.8091,False,0.4226,37,"[6, 6]","{""pseudo_log_likelihood"": -1.2481, ""autoregressive"": -1.3778}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2138, ""autoregressive"": -1.3687}",0.0459,0.0401,0.8273,0.9907,0.9977,12,106,0.6887,0.9623,,[],selection,0.6038,0.8273,0.0,37,,,False
repair,repair_n1,selection,0,1,57.7,,6.737,0.199,8.506,False,0.4411,37,"[6, 6]","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3609}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2098, ""autoregressive"": -1.3677}",-0.0,-0.0038,0.9293,0.9907,0.9746,12,106,0.7547,0.8868,"[26, 56]","[""A5""]",selection,0.6509,0.9293,0.0,37,0.8392,0.3951,False
repair,repair_n3,selection,0,3,48.8,,4.3505,0.81095,9.2056,False,0.4271,35,"[6, 6]","{""pseudo_log_likelihood"": -1.1772, ""autoregressive"": -1.332}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.2071, ""autoregressive"": -1.3494}",-0.025,-0.0274,0.9211,0.9907,0.9522,12,106,0.7358,0.9151,"[26, 56]","[""A3"", ""A4"", ""A5""]",selection,0.6604,0.9211,0.0,35,0.8034,0.3632,False
repair,repair_n5,selection,0,5,61.8,,6.3937,0.37811,9.0482,False,0.3609,29,"[6, 6]","{""pseudo_log_likelihood"": -1.2116, ""autoregressive"": -1.3657}","{""pseudo_log_likelihood"": -1.2022, ""autoregressive"": -1.3949}","{""pseudo_log_likelihood"": -1.189, ""autoregressive"": -1.3358}",0.0226,0.016,0.9291,0.9907,0.9496,12,106,0.7547,0.9623,"[26, 56]","[""A1"", ""A2"", ""A3"", ""A4"", ""A5""]",selection,0.6604,0.9291,0.0,29,0.4444,0.1944,False
